ID_participante;Gender;Age;Income;Goal;Career;Decision;Attractiveness;Sincerity;Intelligence;Fun;Ambition;Shared Interests;Like;Probability of interest;Met Before
128;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;2
129;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;2
130;1;22;NA;2;Lawyer;1;10;10;10;10;10;10;10;10;2
131;1;23;56580;2;Corporate attorney;1;7;8;9;8;9;8;7;7;2
132;1;23;56580;2;Corporate attorney;1;9;9;9;9;9;9;9;7;2
133;1;23;56580;2;Corporate attorney;1;7;9;8;8;8;8;7;7;2
134;1;23;56580;2;Corporate attorney;1;7;7;7;9;9;9;8;10;1
135;1;23;56580;2;Corporate attorney;1;6;8;6;8;10;10;7;7;1
136;1;23;56580;2;Corporate attorney;1;6;8;8;7;9;8;7;7;2
137;1;23;56580;2;Corporate attorney;1;8;8;9;8;9;9;8;7;1
138;1;23;56580;2;Corporate attorney;1;8;8;8;8;8;7;8;7;2
139;1;23;56580;2;Corporate attorney;1;7;8;7;8;8;7;7;7;2
140;1;23;56580;2;Corporate attorney;1;7;8;7;9;8;8;7;7;1
141;1;24;36782;1;Lawyer;1;8;7;9;6;9;7;8;6;2
142;1;24;36782;1;Lawyer;1;10;10;10;10;7;8;10;1;1
143;1;24;36782;1;Lawyer;1;6;10;8;6;NA;NA;6;1;2
144;1;24;36782;1;Lawyer;1;8;8;9;8;8;9;9;7;2
145;1;24;36782;1;Lawyer;0;5;9;9;7;9;5;5;7;2
146;1;24;36782;1;Lawyer;1;9;7;9;7;9;6;9;2;1
147;1;24;36782;1;Lawyer;1;8;7;9;6;9;5;8;4;2
148;1;24;36782;1;Lawyer;1;9;9;8;9;NA;7;9;7;2
149;1;24;36782;1;Lawyer;1;7;9;8;9;7;7;7;8;2
150;1;24;36782;1;Lawyer;1;6;9;9;7;8;NA;6;6;2
151;1;25;NA;1;research/financial industry;1;7;7;8;8;7;7;7;6;2
152;1;25;NA;1;research/financial industry;1;7;8;7;5;7;7;7;5;2
153;1;25;NA;1;research/financial industry;1;7;6;6;6;6;6;6;7;2
154;1;25;NA;1;research/financial industry;1;6;6;7;7;8;7;6;6;2
155;1;25;NA;1;research/financial industry;0;5;8;7;7;7;7;6;7;2
156;1;25;NA;1;research/financial industry;1;6;6;8;8;8;7;6;6;2
157;1;25;NA;1;research/financial industry;1;8;8;8;6;6;6;7;7;2
158;1;25;NA;1;research/financial industry;1;8;7;7;7;8;7;7;6;2
159;1;25;NA;1;research/financial industry;1;6;6;7;8;7;7;6;5;2
160;1;25;NA;1;research/financial industry;0;NA;8;7;7;7;7;6;6;2
161;1;30;38548;3;academics or journalism;0;3;6;7;5;8;7;2;1;2
162;1;30;38548;3;academics or journalism;0;5;3;4;3;5;3;4;3;2
163;1;30;38548;3;academics or journalism;0;6;3;5;4;5;4;2;2;2
164;1;30;38548;3;academics or journalism;1;7;6;3;5;6;5;6;4;2
165;1;30;38548;3;academics or journalism;0;2;3;4;4;5;3;3;3;2
166;1;30;38548;3;academics or journalism;0;5;6;8;4;5;4;3;3;2
167;1;30;38548;3;academics or journalism;0;7;6;5;4;4;3;5;4;2
168;1;30;38548;3;academics or journalism;0;6;4;7;5;6;4;4;4;2
169;1;30;38548;3;academics or journalism;1;8;6;7;8;6;5;8;4;2
170;1;30;38548;3;academics or journalism;0;7;7;4;3;4;4;3;6;2
171;1;27;52010;1;Financial Services;0;6;7;5;6;8;6;7;5;2
172;1;27;52010;1;Financial Services;1;7;7;7;7;7;5;7;6;2
173;1;27;52010;1;Financial Services;0;4;5;6;4;6;4;5;1;2
174;1;27;52010;1;Financial Services;0;6;7;8;6;6;5;7;7;2
175;1;27;52010;1;Financial Services;0;5;5;6;5;5;5;6;5;2
176;1;27;52010;1;Financial Services;0;6;7;8;7;8;5;7;6;2
177;1;27;52010;1;Financial Services;1;8;7;6;7;7;5;7;5;2
178;1;27;52010;1;Financial Services;1;9;8;8;8;7;5;7;5;2
179;1;27;52010;1;Financial Services;0;7;7;7;7;6;5;7;5;2
180;1;27;52010;1;Financial Services;0;6;6;6;6;6;5;7;6;2
181;1;28;NA;4;ceo;1;7;7;8;8;8;9;6.5;8;2
182;1;28;NA;4;ceo;1;8;6;9;9;8;7;8;8;2
183;1;28;NA;4;ceo;1;7;7;6;8;7;7;7;7;2
184;1;28;NA;4;ceo;1;7;7;7;10;9;10;8;8;2
185;1;28;NA;4;ceo;1;5;9;9;9;9;6;7;7;2
186;1;28;NA;4;ceo;1;6;7;7;6;6;6;6;6;2
187;1;28;NA;4;ceo;1;9;7;9;9;9;10;9;9;2
188;1;28;NA;4;ceo;1;8;7;8;10;8;10;8;8;2
189;1;28;NA;4;ceo;1;6;6;6;7;6;6;6;6;2
190;1;28;NA;4;ceo;1;7;7;7;7;6;6;7;8;2
191;1;24;NA;1;CEO;0;6;6;6;6;6;6;6;6;2
192;1;24;NA;1;CEO;0;6;5;7;7;9;7;6;9;2
193;1;24;NA;1;CEO;0;5;6;8;5;8;6;5;5;2
194;1;24;NA;1;CEO;0;7;8;8;7;8;7;7;7;2
195;1;24;NA;1;CEO;0;3;10;7;7;10;5;4;10;2
196;1;24;NA;1;CEO;0;7;10;10;6;10;7;6;7;2
197;1;24;NA;1;CEO;0;7;6;8;6;8;7;7;7;2
198;1;24;NA;1;CEO;1;8;10;9;9;8;8;8;8;2
199;1;24;NA;1;CEO;0;5;6;6;6;6;6;6;6;2
200;1;24;NA;1;CEO;0;6;6;6;6;6;6;7;7;2
201;0;21;NA;6;Undecided;0;6;8;7;9;5;7;9;1;1
202;0;21;NA;6;Undecided;0;5;8;7;5;9;5;7;2;2
203;0;21;NA;6;Undecided;1;8;9;8;8;7;6;9;3;NA
204;0;21;NA;6;Undecided;0;5;8;8;4;9;3;6;1;2
205;0;21;NA;6;Undecided;0;7;7;8;5;7;2;6;1;2
206;0;21;NA;6;Undecided;0;6;8;8;6;8;4;5;2;2
207;0;21;NA;6;Undecided;0;6;8;8;6;8;5;8;2;2
208;0;21;NA;6;Undecided;0;4;7;7;4;7;3;5;1;2
209;0;21;NA;6;Undecided;0;7;7;7;5;6;3;6;1;2
210;0;21;NA;6;Undecided;1;9;9;10;9;9;8;9;5;2
211;0;21;NA;6;Undecided;0;5;7;7;7;7;6;6;1;2
212;0;21;NA;6;Undecided;0;7;4;6;4;4;2;2;1;2
213;0;21;NA;6;Undecided;0;5;8;8;5;8;2;6;1;2
214;0;21;NA;6;Undecided;0;6;8;7;7;7;2;6;1;2
215;0;21;NA;6;Undecided;0;6;8;7;6;8;2;6;1;2
216;0;21;NA;6;Undecided;0;5;9;9;8;9;5;8;3;2
217;0;27;28418;1;Informatics;0;5;7;7;6;7;5;6;4;2
218;0;27;28418;1;Informatics;0;4;7;6;6;7;2;3;3;2
219;0;27;28418;1;Informatics;0;5;6;6;5;6;3;3;2;2
220;0;27;28418;1;Informatics;0;5;7;7;5;7;3;4;3;2
221;0;27;28418;1;Informatics;1;6;8;8;7;7;6;6;6;2
222;0;27;28418;1;Informatics;1;6;7;7;4;6;6;6;6;2
223;0;27;28418;1;Informatics;1;8;7;7;7;6;7;7;4;2
224;0;27;28418;1;Informatics;0;5;7;7;6;6;5;5;4;2
225;0;27;28418;1;Informatics;1;7;7;7;7;7;6;7;4;2
226;0;27;28418;1;Informatics;0;6;7;7;5;7;4;5;3;2
227;0;27;28418;1;Informatics;1;5;6;7;7;7;7;6;6;2
228;0;27;28418;1;Informatics;0;3;4;5;4;4;2;2;1;2
229;0;27;28418;1;Informatics;0;3;6;7;5;5;4;2;2;2
230;0;27;28418;1;Informatics;1;7;7;8;6;7;8;8;5;2
231;0;27;28418;1;Informatics;0;4;5;5;4;5;4;4;2;2
232;0;27;28418;1;Informatics;1;6;7;7;7;7;7;7;6;2
233;0;21;NA;1;psychologist;1;5;7;6;6;6;7;8;6;2
234;0;21;NA;1;psychologist;0;5;7;7;6;6;7;7;6;2
235;0;21;NA;1;psychologist;1;6;6;7;6;6;6;6.5;5;2
236;0;21;NA;1;psychologist;1;5;7;8;6;6;7;7;6;2
237;0;21;NA;1;psychologist;1;7;7;7;6;6;9;9;10;1
238;0;21;NA;1;psychologist;1;6;7;7;6;7;5;7;5;2
239;0;21;NA;1;psychologist;1;7;6;7;7;7;6;7;5;2
240;0;21;NA;1;psychologist;0;5;6;7;6;6;6;6;5;2
241;0;21;NA;1;psychologist;0;6;6;6;8;6;5;6;5;2
242;0;21;NA;1;psychologist;1;7;7;6;7;6;7;8;6;2
243;0;21;NA;1;psychologist;1;6;6;7;8;8;7;7;5;2
244;0;21;NA;1;psychologist;0;7;6;5;4;4;4;6;4;2
245;0;21;NA;1;psychologist;0;6;6;5;7;5;6;6;5;2
246;0;21;NA;1;psychologist;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
247;0;21;NA;1;psychologist;0;6;7;6;6;5;5;6;4;2
248;0;21;NA;1;psychologist;0;6;8;7;6;7;5;6;5;2
249;0;27;43185;2;health/nutrition oriented social worker;0;5;6;7;7;7;NA;6;3;2
250;0;27;43185;2;health/nutrition oriented social worker;0;7;8;NA;NA;8;NA;8;4;2
251;0;27;43185;2;health/nutrition oriented social worker;0;6;8;NA;7;NA;NA;7;5;2
252;0;27;43185;2;health/nutrition oriented social worker;0;7;8;8;8;NA;NA;7;5;2
253;0;27;43185;2;health/nutrition oriented social worker;0;5;8;8;NA;8;6;7;7;2
254;0;27;43185;2;health/nutrition oriented social worker;0;7;7;8;NA;8;NA;8;6;2
255;0;27;43185;2;health/nutrition oriented social worker;1;9;8;7;8;NA;8;8;7;2
256;0;27;43185;2;health/nutrition oriented social worker;0;5;7;7;7;7;7;7;7;2
257;0;27;43185;2;health/nutrition oriented social worker;0;7;7;7;8;7;NA;7;6;2
258;0;27;43185;2;health/nutrition oriented social worker;0;6;NA;NA;8;NA;6;6;5;2
259;0;27;43185;2;health/nutrition oriented social worker;0;6;8;NA;8;NA;NA;7;7;2
260;0;27;43185;2;health/nutrition oriented social worker;0;6;6;8;7;8;NA;7;7;2
261;0;27;43185;2;health/nutrition oriented social worker;0;4;NA;NA;6;8;7;7;6;2
262;0;27;43185;2;health/nutrition oriented social worker;1;8;NA;NA;7;8;8;8;7;2
263;0;27;43185;2;health/nutrition oriented social worker;0;6;8;NA;8;8;8;7;6;2
264;0;27;43185;2;health/nutrition oriented social worker;0;8;7;7;NA;NA;2;6;4;2
265;0;25;23152;1;Social Worker;0;7;8;9;6;8;5;6;4;2
266;0;25;23152;1;Social Worker;0;5;8;8;6;8;5;7;3;2
267;0;25;23152;1;Social Worker;0;6;7;8;7;9;7;7;5;2
268;0;25;23152;1;Social Worker;0;4;5;10;4;10;4;4;5;2
269;0;25;23152;1;Social Worker;0;6;7;9;7;9;3;5;4;2
270;0;25;23152;1;Social Worker;0;6;8;7;5;8;7;7;5;2
271;0;25;23152;1;Social Worker;0;7;8;8;6;10;6;8;7;2
272;0;25;23152;1;Social Worker;0;3;8;9;8;10;5;8;4;2
273;0;25;23152;1;Social Worker;0;7;8;8;8;6;6;7;6;2
274;0;25;23152;1;Social Worker;0;8;8;9;8;9;8;9;8;2
275;0;25;23152;1;Social Worker;0;9;8;9;8;10;7;8;7;2
276;0;25;23152;1;Social Worker;0;6;5;8;7;10;8;6;7;2
277;0;25;23152;1;Social Worker;0;5;4;7;5;9;7;5;4;2
278;0;25;23152;1;Social Worker;0;7;8;9;7;8;5;7;7;2
279;0;25;23152;1;Social Worker;0;5;8;8;6;9;6;6;7;2
280;0;25;23152;1;Social Worker;0;7;7;7;8;8;6;7;5;2
281;0;23;43664;1;Social work with children;0;2;5;5;3;5;2;2;2;2
282;0;23;43664;1;Social work with children;0;2;5;5;3;5;2;2;2;2
283;0;23;43664;1;Social work with children;0;2;5;5;3;7;3;3;2;2
284;0;23;43664;1;Social work with children;0;2;6;7;1;7;2;2;3;2
285;0;23;43664;1;Social work with children;0;3;8;7;6;6;4;5;4;2
286;0;23;43664;1;Social work with children;0;4;7;6;1;4;3;2;2;2
287;0;23;43664;1;Social work with children;0;7;4;5;6;5;4;6;5;2
288;0;23;43664;1;Social work with children;0;3;7;6;4;6;2;2;2;2
289;0;23;43664;1;Social work with children;0;6;5;5;7;6;3;4;4;2
290;0;23;43664;1;Social work with children;0;5;8;8;7;7;6;5;5;2
291;0;23;43664;1;Social work with children;0;7;6;6;7;6;6;8;5;2
292;0;23;43664;1;Social work with children;0;6;7;6;5;6;6;6;4;2
293;0;23;43664;1;Social work with children;0;2;7;6;4;4;4;5;4;2
294;0;23;43664;1;Social work with children;0;6;8;8;6;7;5;6;6;2
295;0;23;43664;1;Social work with children;0;2;8;7;2;7;2;3;3;2
296;0;23;43664;1;Social work with children;0;6;6;6;6;6;4;6;5;2
297;0;22;48441;1;Speech Language Pathologist;0;2;6;6;6;6;NA;3;3;2
298;0;22;48441;1;Speech Language Pathologist;0;1;6;4;2;1;NA;2;1;2
299;0;22;48441;1;Speech Language Pathologist;0;1;4;6;2;6;1;2;2;2
300;0;22;48441;1;Speech Language Pathologist;0;1;6;7;6;4;3;2;3;1
301;0;22;48441;1;Speech Language Pathologist;0;1;3;4;2;2;1;1;4;2
302;0;22;48441;1;Speech Language Pathologist;0;3;6;6;4;5;1;1;2;2
303;0;22;48441;1;Speech Language Pathologist;1;8;7;6;6;4;4;6;5;2
304;0;22;48441;1;Speech Language Pathologist;0;1;4;5;4;4;4;3;5;2
305;0;22;48441;1;Speech Language Pathologist;0;4;6;4;5;6;7;3;1;2
306;0;22;48441;1;Speech Language Pathologist;0;4;5;4;5;6;NA;2;3;2
307;0;22;48441;1;Speech Language Pathologist;1;6;5;6;7;8;4;4;4;2
308;0;22;48441;1;Speech Language Pathologist;0;1;2;6;1;6;2;2;3;2
309;0;22;48441;1;Speech Language Pathologist;0;1;3;7;1;4;2;1;3;2
310;0;22;48441;1;Speech Language Pathologist;0;6;4;8;3;8;2;3;3;2
311;0;22;48441;1;Speech Language Pathologist;0;2;4;7;3;6;2;1;2;2
312;0;22;48441;1;Speech Language Pathologist;0;5;6;6;4;3;4;4;1;2
313;0;26;NA;NA;NA;0;3;6;6;6;5;2;2;4;2
314;0;26;NA;NA;NA;0;2;6;5;4;5;2;2;2;2
315;0;26;NA;NA;NA;0;3;5;8;5;8;3;3;3;2
316;0;26;NA;NA;NA;0;4;6;5;4;4;3;3;4.5;2
317;0;26;NA;NA;NA;0;4;6;7;4;5;2;2;4;2
318;0;26;NA;NA;NA;0;4;6;5;3;3;3;3;3;2
319;0;26;NA;NA;NA;1;7;8;8;8;5;9;7.5;6.5;2
320;0;26;NA;NA;NA;0;4;6;6;5;4;3;2;5;2
321;0;26;NA;NA;NA;0;6;6;5;6;4;4;4;4;2
322;0;26;NA;NA;NA;0;3;5;7;5.5;5;4;4;3;2
323;0;26;NA;NA;NA;0;5;8;9;5;8;6;3;5;2
324;0;26;NA;NA;NA;1;5;4.5;6;4;5.5;6;4.5;4.5;2
325;0;26;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
326;0;26;NA;NA;NA;1;6;6;7;5;6;7;8;5.5;2
327;0;26;NA;NA;NA;0;4;5;6.5;5;5;6;4;4;2
328;0;26;NA;NA;NA;0;4;6;6;5;6;6;4;4;2
329;0;22;61152;1;Social Work Administration;0;4;9;4;4;5;NA;5;4;2
330;0;22;61152;1;Social Work Administration;0;4;8;6;3;6;NA;4;4;2
331;0;22;61152;1;Social Work Administration;0;6;8;7;5;5;NA;6;3;2
332;0;22;61152;1;Social Work Administration;0;5;7;5;3;5;NA;5;4;NA
333;0;22;61152;1;Social Work Administration;1;8;6;7;3;7;2;6;4;2
334;0;22;61152;1;Social Work Administration;1;6;8;7;4;7;2;6;4;2
335;0;22;61152;1;Social Work Administration;1;8;6;6;5;NA;NA;7;4;2
336;0;22;61152;1;Social Work Administration;0;5;6;6;7;6;NA;6;4;2
337;0;22;61152;1;Social Work Administration;1;8;7;8;8;8;6;8;5;2
338;0;22;61152;1;Social Work Administration;0;7;5;6;8;6;4;5;6;2
339;0;22;61152;1;Social Work Administration;1;7;7;7;7;7;NA;7;5;2
340;0;22;61152;1;Social Work Administration;1;6;7;7;4;6;6;6;5;2
341;0;22;61152;1;Social Work Administration;1;6;8;8;5;7;5;8;7;2
342;0;22;61152;1;Social Work Administration;1;9;8;8;5;7;NA;8;5;2
343;0;22;61152;1;Social Work Administration;0;6;7;6;4;6;5;6;4;NA
344;0;22;61152;1;Social Work Administration;1;6;8;7;6;5;3;6;6;2
345;0;23;NA;1;Lawyer;0;3;6;6;5;6;5;6;5;2
346;0;23;NA;1;Lawyer;0;8;9;8;5;9;5;8;5;2
347;0;23;NA;1;Lawyer;0;6;7;8;7;8;7;8;6;2
348;0;23;NA;1;Lawyer;0;4;6;6;5;7;6;6;5;2
349;0;23;NA;1;Lawyer;0;6;9;7;5;6;3;7;4;2
350;0;23;NA;1;Lawyer;0;4;5;5;2;6;5;4;3;2
351;0;23;NA;1;Lawyer;0;8;7;7;7;5;5;7;6;2
352;0;23;NA;1;Lawyer;0;5;5;5;7;7;6;8;6;2
353;0;23;NA;1;Lawyer;0;7;7;5;7;5;7;8;7;2
354;0;23;NA;1;Lawyer;1;8;7;7;7;7;7;9;7;1
355;0;23;NA;1;Lawyer;1;7;7;8;8;7;7;8;4;2
356;0;23;NA;1;Lawyer;0;5;5;5;2;4;3;4;4;2
357;0;23;NA;1;Lawyer;0;3;7;8;6;7;5;7;7;2
358;0;23;NA;1;Lawyer;1;7;7;8;7;9;7;9;6;2
359;0;23;NA;1;Lawyer;0;3;5;8;4;7;6;6;5;2
360;0;23;NA;1;Lawyer;1;7;7;8;8;7;8;8;5;2
361;0;24;36485;1;law;0;4;6;6;6;6;4;5;4;2
362;0;24;36485;1;law;0;3;6;6;3;6;2;NA;NA;2
363;0;24;36485;1;law;0;4;5;6;5;6;4;5;3;NA
364;0;24;36485;1;law;0;4;5;6;5;5;5;5;4;2
